Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured
Alabama,0.592,0.087,0.147,0.036,0.021,0.117
Alaska,0.568,0.072,0.196,0,0.034,0.118
Arizona,0.571,0.079,0.194,0.014,0.016,0.126
Arkansas,0.524,0.082,0.245,0.034,0.015,0.099
California,0.565,0.091,0.247,0.013,0.008,0.076
Colorado,0.631,0.089,0.163,0.011,0.022,0.084
Connecticut,0.631,0.075,0.218,0.012,0.006,0.059
Delaware,0.635,0.071,0.198,0.016,0.013,0.068
District of Columbia,0.678,0.062,0.211,0.011,0.011,0.027
Florida,0.535,0.159,0.128,0.018,0.021,0.139
Georgia,0.594,0.091,0.121,0.02,0.021,0.153
Hawaii,0.628,0.073,0.184,0.018,0.053,0.044
Idaho,0.594,0.106,0.172,0.013,0.015,0.099
Illinois,0.643,0.071,0.183,0.015,0.006,0.082
Indiana,0.633,0.067,0.196,0.018,0.007,0.078
Iowa,0.659,0.077,0.198,0.011,0.007,0.048
Kansas,0.662,0.086,0.101,0.013,0.022,0.117
Kentucky,0.571,0.048,0.279,0.03,0.014,0.058
Louisiana,0.502,0.065,0.322,0.02,0.016,0.076
Maine,0.6,0.087,0.195,0.017,0.019,0.082
Maryland,0.656,0.073,0.174,0.014,0.017,0.068
Massachusetts,0.649,0.076,0.232,0.014,0.004,0.025
Michigan,0.613,0.071,0.234,0.022,0.005,0.055
Minnesota,0.673,0.072,0.185,0.014,0.008,0.048
Mississippi,0.566,0.088,0.163,0.025,0.02,0.138
Missouri,0.645,0.08,0.131,0.027,0.014,0.103
Montana,0.561,0.103,0.201,0.013,0.017,0.104
Nebraska,0.652,0.096,0.136,0.017,0.02,0.079
Nevada,0.571,0.074,0.184,0.015,0.02,0.137
New Hampshire,0.684,0.101,0.126,0.025,0.011,0.053
New Jersey,0.661,0.075,0.162,0.016,0.004,0.083
New Mexico,0.465,0.057,0.322,0.017,0.025,0.115
New York,0.586,0.071,0.271,0.014,0.004,0.054
North Carolina,0.589,0.104,0.141,0.023,0.026,0.118
North Dakota,0.669,0.095,0.115,0.016,0.029,0.076
Ohio,0.628,0.061,0.22,0.021,0.008,0.063
Oklahoma,0.545,0.08,0.177,0.026,0.024,0.148
Oregon,0.596,0.083,0.231,0.014,0.006,0.07
Pennsylvania,0.64,0.071,0.204,0.019,0.006,0.06
Rhode Island,0.634,0.082,0.219,0.015,0.005,0.044
South Carolina,0.582,0.096,0.153,0.024,0.027,0.118
South Dakota,0.654,0.113,0.094,0,0.031,0.094
Tennessee,0.595,0.091,0.159,0.02,0.02,0.115
Texas,0.572,0.091,0.098,0.013,0.016,0.209
Utah,0.669,0.123,0.094,0.011,0.012,0.091
Vermont,0.612,0.087,0.239,0.018,0.012,0.032
Virginia,0.641,0.063,0.153,0.02,0.045,0.078
Washington,0.636,0.073,0.181,0.014,0.02,0.075
West Virginia,0.553,0.046,0.291,0.025,0.01,0.074
Wisconsin,0.67,0.076,0.171,0.017,0.006,0.06
Wyoming,0.62,0.114,0.091,0.016,0.018,0.14
