Location,Employer,Non-Group,Medicaid,Other Public,Uninsured
Alabama,0.253,0.068,0.449,0.055,0.175
Alaska,0.164,0.044,0.614,0.042,0.136
Arizona,0.224,0.061,0.498,0.03,0.187
Arkansas,0.184,0.048,0.574,0.047,0.148
California,0.197,0.069,0.594,0.025,0.116
Colorado,0.24,0.076,0.506,0.035,0.143
Connecticut,0.181,0.059,0.627,0.021,0.112
Delaware,0.22,0.066,0.551,0.029,0.134
District of Columbia,0.205,0.086,0.622,0.02,0.067
Florida,0.208,0.141,0.404,0.035,0.212
Georgia,0.244,0.08,0.408,0.043,0.225
Hawaii,0.267,0.076,0.478,0.1,0.079
Idaho,0.249,0.078,0.505,0.029,0.139
Illinois,0.237,0.061,0.549,0.028,0.125
Indiana,0.27,0.058,0.529,0.03,0.114
Iowa,0.265,0.07,0.561,0.021,0.084
Kansas,0.334,0.088,0.352,0.041,0.185
Kentucky,0.196,0.032,0.634,0.045,0.093
Louisiana,0.166,0.045,0.648,0.031,0.111
Maine,0.206,0.07,0.549,0.04,0.135
Maryland,0.221,0.06,0.548,0.031,0.141
Massachusetts,0.21,0.072,0.647,0.025,0.046
Michigan,0.238,0.056,0.594,0.027,0.085
Minnesota,0.245,0.067,0.567,0.029,0.092
Mississippi,0.245,0.065,0.462,0.041,0.187
Missouri,0.287,0.078,0.42,0.047,0.169
Montana,0.226,0.077,0.515,0.04,0.141
Nebraska,0.289,0.082,0.448,0.034,0.148
Nevada,0.256,0.044,0.48,0.027,0.192
New Hampshire,0.223,0.096,0.513,0.058,0.111
New Jersey,0.206,0.066,0.534,0.026,0.169
New Mexico,0.14,0.032,0.652,0.034,0.142
New York,0.177,0.06,0.656,0.021,0.086
North Carolina,0.234,0.083,0.455,0.046,0.182
North Dakota,0.334,0.076,0.398,0.05,0.142
Ohio,0.239,0.046,0.581,0.031,0.103
Oklahoma,0.223,0.062,0.471,0.046,0.198
Oregon,0.221,0.057,0.583,0.024,0.114
Pennsylvania,0.228,0.058,0.579,0.027,0.108
Rhode Island,0.227,0.058,0.603,0.03,0.082
South Carolina,0.243,0.072,0.459,0.043,0.183
South Dakota,0.294,0.099,0.368,0.055,0.184
Tennessee,0.257,0.074,0.444,0.039,0.186
Texas,0.216,0.073,0.377,0.03,0.304
Utah,0.395,0.124,0.295,0.025,0.16
Vermont,0.199,0,0.674,0.035,0.06
Virginia,0.255,0.057,0.499,0.064,0.125
Washington,0.22,0.06,0.561,0.039,0.12
West Virginia,0.207,0.034,0.635,0.04,0.084
Wisconsin,0.284,0.064,0.515,0.025,0.111
Wyoming,0.262,0.133,0.288,0.062,0.255
