Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races
Alabama,0.626,0.432,0.313,0.577,0.446,0.508
Alaska,0.608,0.455,0.53,0.537,0.214,0.491
Arizona,0.646,0.511,0.439,0.688,0.279,0.6
Arkansas,0.535,0.372,0.355,0.617,0.389,0.453
California,0.651,0.487,0.434,0.647,0.44,0.617
Colorado,0.677,0.444,0.476,0.651,0.399,0.589
Connecticut,0.727,0.503,0.415,0.621,0.304,0.57
Delaware,0.704,0.545,0.376,0.751,0.642,0.502
District of Columbia,0.865,0.406,0.672,0.781,0,0.753
Florida,0.583,0.432,0.406,0.602,0.356,0.485
Georgia,0.648,0.491,0.353,0.617,0.461,0.55
Hawaii,0.563,0.29,0.488,0.64,0,0.623
Idaho,0.591,0.423,0.437,0.678,0.437,0.519
Illinois,0.712,0.439,0.499,0.683,0.48,0.591
Indiana,0.657,0.432,0.473,0.688,0.483,0.553
Iowa,0.676,0.342,0.494,0.647,0.318,0.547
Kansas,0.68,0.498,0.468,0.69,0.366,0.564
Kentucky,0.572,0.407,0.374,0.589,0.428,0.425
Louisiana,0.582,0.322,0.324,0.465,0.383,0.438
Maine,0.595,0.479,0.481,0.603,0.417,0.589
Maryland,0.736,0.56,0.38,0.672,0.699,0.61
Massachusetts,0.727,0.497,0.378,0.682,0.55,0.512
Michigan,0.654,0.389,0.482,0.71,0.409,0.552
Minnesota,0.724,0.338,0.483,0.602,0.256,0.602
Mississippi,0.59,0.412,0.339,0.548,0.332,0.398
Missouri,0.65,0.487,0.48,0.692,0.469,0.566
Montana,0.56,0.431,0.393,0.646,0.234,0.507
Nebraska,0.682,0.454,0.441,0.766,0.337,0.594
Nevada,0.632,0.427,0.473,0.597,0.416,0.547
New Hampshire,0.696,0.587,0.447,0.766,0.654,0.664
New Jersey,0.738,0.542,0.451,0.761,0.405,0.61
New Mexico,0.563,0.438,0.389,0.652,0.212,0.514
New York,0.666,0.463,0.396,0.5,0.429,0.549
North Carolina,0.63,0.473,0.321,0.662,0.37,0.511
North Dakota,0.726,0,0.435,0.63,0.249,0.486
Ohio,0.67,0.409,0.438,0.647,0.419,0.486
Oklahoma,0.579,0.372,0.339,0.556,0.384,0.452
Oregon,0.606,0.621,0.446,0.653,0.457,0.592
Pennsylvania,0.684,0.42,0.401,0.604,0.458,0.544
Rhode Island,0.715,0.479,0.356,0.644,0,0.552
South Carolina,0.62,0.442,0.32,0.657,0.464,0.473
South Dakota,0.68,0.72,0.455,0.598,0.188,0.524
Tennessee,0.617,0.491,0.323,0.588,0.549,0.491
Texas,0.675,0.509,0.401,0.669,0.568,0.6
Utah,0.713,0.467,0.51,0.647,0.435,0.674
Vermont,0.594,0.556,0.553,0.65,0.558,0.585
Virginia,0.689,0.494,0.476,0.685,0.383,0.604
Washington,0.662,0.497,0.427,0.697,0.367,0.609
West Virginia,0.543,0.323,0.547,0.648,0,0.445
Wisconsin,0.705,0.407,0.45,0.667,0.411,0.626
Wyoming,0.628,0.528,0.534,0.477,0.288,0.53
