Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races
Alabama,0.16,0.338,0.342,0.132,0.275,0.271
Alaska,0.164,0.361,0.271,0.248,0.491,0.295
Arizona,0.149,0.258,0.315,0.11,0.464,0.201
Arkansas,0.265,0.441,0.329,0.178,0.371,0.357
California,0.174,0.362,0.383,0.182,0.364,0.231
Colorado,0.143,0.366,0.3,0.133,0.361,0.212
Connecticut,0.151,0.37,0.406,0.219,0.652,0.264
Delaware,0.154,0.328,0.353,0,0,0.288
District of Columbia,0.035,0.478,0.164,0,0,0.167
Florida,0.131,0.297,0.218,0.097,0.223,0.217
Georgia,0.126,0.267,0.248,0.092,0,0.232
Hawaii,0.151,0,0.297,0.213,0,0.233
Idaho,0.203,0.357,0.317,0.092,0.3,0.284
Illinois,0.148,0.424,0.278,0.133,0.404,0.289
Indiana,0.185,0.402,0.319,0.158,0.314,0.323
Iowa,0.194,0.546,0.316,0.252,0.446,0.364
Kansas,0.12,0.249,0.254,0,0.284,0.22
Kentucky,0.288,0.463,0.348,0.232,0.197,0.45
Louisiana,0.248,0.542,0.341,0.249,0.352,0.406
Maine,0.199,0.377,0.337,0,0.403,0.266
Maryland,0.134,0.306,0.289,0.146,0,0.239
Massachusetts,0.165,0.407,0.508,0.185,0,0.365
Michigan,0.202,0.496,0.339,0.159,0.373,0.326
Minnesota,0.15,0.517,0.28,0.253,0.533,0.286
Mississippi,0.169,0.354,0.285,0,0.317,0.31
Missouri,0.144,0.323,0.23,0.114,0.114,0.248
Montana,0.205,0,0.44,0.169,0.503,0.297
Nebraska,0.128,0.367,0.273,0.108,0.342,0.264
Nevada,0.164,0.366,0.26,0.178,0.316,0.23
New Hampshire,0.137,0.307,0.307,0,0,0.19
New Jersey,0.13,0.318,0.297,0.101,0,0.219
New Mexico,0.23,0.417,0.425,0.133,0.602,0.259
New York,0.208,0.419,0.426,0.343,0.388,0.317
North Carolina,0.14,0.306,0.293,0.112,0.37,0.274
North Dakota,0.097,0,0.226,0,0.472,0.218
Ohio,0.185,0.45,0.344,0.201,0.228,0.368
Oklahoma,0.188,0.408,0.341,0.193,0.293,0.303
Oregon,0.237,0.282,0.349,0.173,0.368,0.264
Pennsylvania,0.17,0.442,0.43,0.213,0.494,0.316
Rhode Island,0.154,0.359,0.456,0.159,0,0.271
South Carolina,0.149,0.336,0.298,0.093,0.383,0.271
South Dakota,0.091,0,0.315,0,0.47,0.204
Tennessee,0.163,0.323,0.281,0.135,0,0.302
Texas,0.095,0.239,0.233,0.077,0.15,0.152
Utah,0.092,0.211,0.162,0.109,0.263,0.122
Vermont,0.257,0.249,0.353,0,0,0.28
Virginia,0.138,0.312,0.21,0.129,0.317,0.205
Washington,0.188,0.335,0.352,0.136,0.421,0.262
West Virginia,0.311,0.517,0.247,0.186,0.463,0.431
Wisconsin,0.153,0.474,0.321,0.19,0.408,0.275
Wyoming,0.098,0,0.205,0,0.357,0.187
