Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races
Alabama,0.726,0.228,0.012,0.006,0.003,0.024
Alaska,0.721,0.023,0.03,0.058,0.105,0.062
Arizona,0.766,0.027,0.139,0.024,0.02,0.024
Arkansas,0.801,0.127,0.023,0.006,0.003,0.041
California,0.515,0.054,0.236,0.161,0.003,0.03
Colorado,0.796,0.029,0.125,0.022,0.004,0.025
Connecticut,0.795,0.066,0.087,0.024,0,0.027
Delaware,0.754,0.151,0.037,0.023,0,0.033
District of Columbia,0.305,0.569,0.07,0.025,0,0.031
Florida,0.697,0.095,0.162,0.019,0.001,0.025
Georgia,0.645,0.268,0.033,0.028,0.001,0.025
Hawaii,0.258,0.007,0.038,0.572,0,0.124
Idaho,0.902,0,0.045,0.009,0.006,0.037
Illinois,0.724,0.124,0.084,0.045,0.001,0.023
Indiana,0.863,0.071,0.03,0.01,0.001,0.025
Iowa,0.93,0.018,0.017,0.014,0.002,0.018
Kansas,0.87,0.045,0.04,0.014,0.004,0.027
Kentucky,0.899,0.059,0.011,0.006,0,0.025
Louisiana,0.66,0.271,0.027,0.012,0.004,0.027
Maine,0.946,0,0.009,0,0.002,0.035
Maryland,0.608,0.271,0.041,0.051,0.002,0.026
Massachusetts,0.819,0.045,0.062,0.043,0,0.03
Michigan,0.827,0.107,0.022,0.016,0.003,0.025
Minnesota,0.911,0.027,0.013,0.021,0.004,0.023
Mississippi,0.639,0.316,0.01,0.006,0,0.025
Missouri,0.851,0.084,0.016,0.011,0,0.037
Montana,0.923,0,0.009,0,0.027,0.036
Nebraska,0.895,0.025,0.042,0.008,0.004,0.026
Nevada,0.662,0.072,0.127,0.097,0.007,0.036
New Hampshire,0.941,0,0.015,0.009,0,0.027
New Jersey,0.677,0.104,0.125,0.07,0.001,0.024
New Mexico,0.521,0.012,0.369,0.008,0.057,0.033
New York,0.649,0.12,0.129,0.073,0.002,0.028
North Carolina,0.744,0.183,0.027,0.015,0.009,0.022
North Dakota,0.924,0,0,0,0.028,0
Ohio,0.844,0.097,0.019,0.012,0.001,0.027
Oklahoma,0.78,0.058,0.033,0.011,0.055,0.062
Oregon,0.879,0.009,0.043,0.025,0.006,0.038
Pennsylvania,0.846,0.078,0.036,0.02,0.001,0.019
Rhode Island,0.848,0.024,0.078,0.014,0,0.036
South Carolina,0.726,0.223,0.019,0.009,0.002,0.02
South Dakota,0.91,0,0.017,0,0.035,0.024
Tennessee,0.825,0.127,0.013,0.009,0.001,0.026
Texas,0.575,0.107,0.25,0.041,0.002,0.025
Utah,0.885,0.003,0.061,0.026,0.006,0.018
Vermont,0.945,0.004,0,0,0,0.034
Virginia,0.723,0.174,0.032,0.046,0.002,0.023
Washington,0.816,0.026,0.042,0.07,0.007,0.039
West Virginia,0.929,0.03,0.007,0.005,0,0.029
Wisconsin,0.906,0.036,0.028,0.008,0.006,0.017
Wyoming,0.895,0,0.058,0,0.011,0.03
