Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races
Alabama,0.082,0.126,0.252,0.107,0.125,0.089
Alaska,0.088,0,0.079,0.165,0.26,0.134
Arizona,0.078,0.145,0.185,0.061,0.215,0.089
Arkansas,0.078,0.093,0.253,0.14,0.183,0.114
California,0.042,0.06,0.115,0.041,0.132,0.048
Colorado,0.057,0.092,0.147,0.08,0.155,0.067
Connecticut,0.034,0.076,0.121,0.062,0,0.089
Delaware,0.04,0.07,0.185,0,0,0.098
District of Columbia,0.018,0.044,0.054,0,0,0
Florida,0.11,0.142,0.188,0.088,0.201,0.131
Georgia,0.106,0.13,0.3,0.1,0.213,0.115
Hawaii,0.045,0,0.067,0.043,0,0.036
Idaho,0.081,0,0.185,0,0.226,0.076
Illinois,0.049,0.078,0.161,0.081,0,0.055
Indiana,0.073,0.092,0.148,0.083,0,0.061
Iowa,0.043,0.068,0.106,0.052,0,0.042
Kansas,0.078,0.154,0.213,0.116,0.197,0.082
Kentucky,0.057,0.066,0.203,0.063,0,0.061
Louisiana,0.062,0.072,0.274,0.102,0.181,0.085
Maine,0.084,0,0,0,0,0.065
Maryland,0.034,0.054,0.244,0.054,0,0.051
Massachusetts,0.021,0.035,0.048,0.021,0,0.053
Michigan,0.05,0.064,0.116,0.045,0.114,0.05
Minnesota,0.037,0.067,0.172,0.064,0.16,0.047
Mississippi,0.113,0.137,0.264,0.196,0,0.155
Missouri,0.094,0.106,0.19,0.083,0.219,0.093
Montana,0.095,0,0.072,0,0.223,0.084
Nebraska,0.057,0.115,0.194,0,0.193,0.064
Nevada,0.082,0.127,0.208,0.097,0.204,0.094
New Hampshire,0.05,0,0.133,0,0,0.072
New Jersey,0.035,0.075,0.185,0.046,0,0.099
New Mexico,0.074,0,0.113,0,0.154,0.082
New York,0.038,0.056,0.106,0.056,0.121,0.05
North Carolina,0.081,0.108,0.287,0.088,0.159,0.084
North Dakota,0.049,0,0,0,0.23,0.117
Ohio,0.062,0.083,0.153,0.066,0,0.066
Oklahoma,0.108,0.134,0.244,0.109,0.235,0.142
Oregon,0.058,0.041,0.154,0.051,0.113,0.061
Pennsylvania,0.057,0.073,0.113,0.074,0,0.066
Rhode Island,0.029,0,0.086,0.101,0,0
South Carolina,0.091,0.112,0.266,0.078,0.095,0.113
South Dakota,0.069,0,0.145,0,0.295,0.164
Tennessee,0.093,0.11,0.308,0.103,0,0.114
Texas,0.112,0.16,0.278,0.097,0.16,0.135
Utah,0.059,0,0.222,0.134,0.207,0.065
Vermont,0.05,0,0,0,0,0
Virginia,0.053,0.079,0.209,0.067,0.119,0.064
Washington,0.051,0.083,0.158,0.052,0.167,0.052
West Virginia,0.071,0.105,0,0,0,0.056
Wisconsin,0.05,0.09,0.187,0.063,0.105,0.051
Wyoming,0.13,0,0.204,0,0.31,0.107
